FEN,Move,Win Probability
8/ppk2r2/2p4p/4p3/R4pPb/2P1pP1P/PP2R3/6K1 b - - 1 34,"['f7d7', 'f7h7', 'c7d6', 'h4f6', 'h4g5', 'a7a6', 'f7g7', 'c6c5', 'f7e7', 'f7f8', 'h6h5', 'h4g3', 'c7d7', 'h4d8', 'c7d8', 'f7f6', 'c7c8', 'c7b8', 'c7b6', 'a7a5', 'h4f2', 'h4e7', 'e5e4', 'b7b5', 'h4e1', 'b7b6', 'f7f5']","[0.6737883770370706, 0.5838871815019091, 0.5803043837193158, 0.5649872147270768, 0.5649872147270768, 0.5631764176433595, 0.5631764176433595, 0.5586421525846197, 0.5568256609665037, 0.5477213400816676, 0.5394998785122574, 0.5385849714102531, 0.5358387144707508, 0.5349228039541688, 0.5303398401818216, 0.5229967635676993, 0.5046024700028845, 0.5027615319200139, 0.5027615319200139, 0.5, 0.4852759384118717, 0.47516641034760715, 0.34094353873508304, 0.1621648870000681, 0.15528242303659195, 0.1422343301868677, 0.1347671251678204]"
3rk2r/5ppp/p3p3/1p1pP3/8/2NRn3/PPP2PPP/6K1 w k - 0 19,"['f2e3', 'c3b5', 'c3e4', 'd3e3', 'a2a4', 'c3d1', 'c3b1', 'c3e2', 'h2h4', 'h2h3', 'f2f4', 'a2a3', 'd3d2', 'c3d5', 'd3d5', 'd3d4', 'g2g3', 'c3a4', 'g2g4', 'b2b4', 'g1h1', 'd3d1', 'b2b3', 'f2f3']","[0.17666477329070246, 0.12082496069766191, 0.10957364483519622, 0.10743666150648551, 0.10157996710955025, 0.09632824270174412, 0.0960081969682186, 0.09537095564452558, 0.09442218785969808, 0.09071118696593633, 0.09071118696593633, 0.08860754082683975, 0.08831063994889787, 0.08771953240973313, 0.0851035919775297, 0.08481733928130131, 0.08453196045763806, 0.08144987765416223, 0.08117482411679905, 0.08090061761863632, 0.07847053699808193, 0.07662683689656646, 0.07636671651344662, 0.07406185033185864]"
3r2k1/p4ppp/3Pp3/8/1P2p3/P3P3/5PPP/R3R1K1 w - - 1 24,"['a1c1', 'a1d1', 'e1c1', 'g2g4', 'h2h4', 'g1h1', 'a1b1', 'f2f3', 'e1d1', 'd6d7', 'e1b1', 'b4b5', 'g1f1', 'e1e2', 'a1a2', 'g2g3', 'h2h3', 'e1f1', 'f2f4', 'a3a4']","[0.933395157477204, 0.9269418544037995, 0.9225879202258773, 0.9196452624848273, 0.9193727438968193, 0.9163189534721607, 0.9148964080224704, 0.9148964080224704, 0.9146092793830201, 0.9146092793830201, 0.9140323859879603, 0.9140323859879603, 0.9125746784058927, 0.9125746784058927, 0.9125746784058927, 0.9113924591731603, 0.9077587883502571, 0.9055778121403019, 0.9023820254495157, 0.9020571948855387]"
6k1/8/7Q/8/6PP/8/8/6K1 w - - 1 49,"['h6h5', 'h6b6', 'g1f2', 'h6c1', 'g1h1', 'h6d2', 'h6d6', 'h6f4', 'h4h5', 'g4g5', 'h6g5', 'h6e6', 'g1g2', 'h6e3', 'h6f6', 'g1f1', 'h6a6', 'h6c6', 'g1h2', 'h6g6', 'h6g7', 'h6h7', 'h6f8', 'h6h8']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9983883948115646, 0.9460714585480221, 0.9317747773358329, 0.9313051425398847, 0.9249217724737815, 0.9233731631034335]"
r5k1/pp3ppp/4b3/8/3r4/5R2/PP4PP/5R1K b - - 2 24,"['a8d8', 'd4d2', 'd4d7', 'a7a6', 'h7h5', 'h7h6', 'g7g6', 'a8c8', 'd4d5', 'a8b8', 'a8f8', 'a8e8', 'd4d8', 'a7a5', 'd4b4', 'd4e4', 'e6d5', 'g8h8', 'b7b6', 'e6c4', 'd4d6', 'b7b5', 'd4c4', 'd4h4', 'd4a4', 'g7g5', 'g8f8', 'd4g4', 'e6g4', 'f7f6', 'f7f5', 'e6a2', 'e6d7', 'e6c8', 'e6h3', 'e6b3', 'e6f5', 'd4d3', 'd4d1', 'd4f4']","[0.9122804675902669, 0.9122804675902669, 0.9113924591731603, 0.9107959528114045, 0.9107959528114045, 0.9107959528114045, 0.910496343170818, 0.910496343170818, 0.9095920634631363, 0.9092888130340637, 0.9089846472089855, 0.9083735610512753, 0.9080666365586876, 0.907450014345987, 0.9071403124659402, 0.9065181167592984, 0.905892184593496, 0.9055778121403019, 0.9055778121403019, 0.9055778121403019, 0.9055778121403019, 0.9052624993351271, 0.9049462440995383, 0.9049462440995383, 0.9046290443554744, 0.9027058948988173, 0.9017314011340175, 0.8967275055826844, 0.8967275055826844, 0.8943160689326426, 0.88970578574512, 0.889343946637704, 0.8871510237600677, 0.8621990419356735, 0.6713557948833915, 0.6465391720148663, 0.6456972666879179, 0.5550076484124536, 0.5413288883579234, 0.4468118376315084]"
8/8/8/2pp2p1/7p/p2k4/3b2K1/8 b - - 1 48,"['g5g4', 'a3a2', 'c5c4', 'd2f4', 'd3c2', 'd3e2', 'd3c4', 'd2a5', 'd3c3', 'd3e4', 'd2e3', 'd3d4', 'd3e3', 'h4h3', 'd2b4', 'd2e1', 'd2c3', 'd2c1', 'd5d4']","[1.0, 0.9950802191042711, 0.9929057514907721, 0.9893233108052524, 0.9892843479516049, 0.9863767305277519, 0.9855619621902848, 0.9855094739518762, 0.9849741431035723, 0.9840768442268337, 0.9839610384164406, 0.9836086276238456, 0.9829426583705984, 0.9813960132100256, 0.9812610815383312, 0.9769027909563587, 0.9756231898689658, 0.9752704477738143, 0.970313584740778]"
6k1/1pp2ppp/8/3p4/4qPb1/1K6/P5PP/5nNR b - - 5 26,"['e4f4', 'e4b1', 'b7b5', 'e4e1', 'c7c6', 'e4d3', 'g7g5', 'f1d2', 'e4e3', 'f7f6', 'g7g6', 'f1e3', 'e4d4', 'b7b6', 'h7h5', 'e4f5', 'e4c4', 'g4d1', 'g4f5', 'g4e6', 'd5d4', 'c7c5', 'f1g3', 'e4g6', 'e4g2', 'g4d7', 'f7f5', 'f1h2', 'e4e6', 'h7h6', 'g8f8', 'g8h8', 'e4e7', 'g4h5', 'g4c8', 'g4e2', 'g4h3', 'e4e8', 'g4f3', 'e4e2', 'e4e5', 'e4c2', 'e4a4', 'e4b4', 'e4f3']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 0.9821858090268247, 0.9819915017002298, 0.9774772678669068, 0.9746411428217798, 0.9744584942302555, 0.9740893461270397, 0.9731436130082863, 0.9689032882771671, 0.9674282426366829, 0.9668430965337977, 0.9663676828108472, 0.9661275151405472, 0.9612377059573953, 0.9604061049488779, 0.9576584274164551, 0.9569055865267223, 0.9555181551859737, 0.9479195027365241, 0.9393157515341269, 0.9279330153788143, 0.8719558516110355, 0.6209067564512851, 0.6200396776969423, 0.6148212729952696, 0.5540980866051488, 0.42508560971233006]"
7r/pp5k/2p3p1/3qPpQp/5P2/2P5/PP2B2P/3K2R1 w - - 1 37,"['d1e1', 'd1c2', 'd1c1', 'e2d3']","[0.8795656272368988, 0.8652328748321795, 0.8630716599681828, 0.5257517538936253]"
Nn5r/pp1k1ppp/8/b3P1B1/8/2PP3P/PP2K1P1/R7 b - - 0 18,"['b8c6', 'h8e8', 'b8a6', 'h8c8', 'h7h6', 'f7f6', 'a5d8', 'h8g8', 'h8f8', 'b7b5', 'd7c8', 'd7c6', 'h7h5', 'f7f5', 'd7e6', 'a7a6', 'd7e8', 'g7g6', 'b7b6', 'a5b4', 'a5c3', 'a5b6', 'h8d8', 'a5c7']","[0.5092041601288086, 0.4332037205612503, 0.4232868990440539, 0.4196956162806843, 0.4143247132264411, 0.38343625677752047, 0.35261983069916264, 0.35261983069916264, 0.3401166567266681, 0.3392907477206131, 0.33271896373429855, 0.32621162296292944, 0.30008809407041565, 0.2970037651435491, 0.26864154452347183, 0.2671971513914837, 0.26360782809954386, 0.2407066986076838, 0.23536418926249292, 0.2092866151375503, 0.2050532483330516, 0.1698097103394629, 0.16671791636261035, 0.13305894980200939]"
r2qkb1r/ppp1pppp/2np1n2/8/3P1Bb1/2N2N2/PPP1PPPP/R2QKB1R w KQkq - 6 5,"['d4d5', 'e2e3', 'd1d3', 'd1d2', 'a2a3', 'h2h4', 'e2e4', 'g2g3', 'f4g3', 'f4g5', 'h1g1', 'h2h3', 'a1c1', 'a2a4', 'a1b1', 'c3b5', 'c3a4', 'f4e3', 'f4c1', 'c3b1', 'f4d2', 'f3g5', 'f3h4', 'f3g1', 'b2b3', 'd1c1', 'b2b4', 'd1b1', 'f3d2', 'e1d2', 'f3e5', 'f4e5', 'f4d6', 'c3e4', 'f4h6', 'c3d5']","[0.5874611371519987, 0.5540980866051488, 0.5404145195219514, 0.5404145195219514, 0.5385849714102531, 0.5349228039541688, 0.5229967635676993, 0.5202403732122675, 0.5202403732122675, 0.519321294202434, 0.5147240615881282, 0.5128844269647328, 0.5082839219143761, 0.5055228953683342, 0.5027615319200139, 0.49631798655933523, 0.4926363724400336, 0.48803552438333736, 0.48711557303526726, 0.4815979155878063, 0.43501278527292314, 0.415218486764101, 0.41343150341573687, 0.410755311431655, 0.40010471851325186, 0.39657487064657393, 0.3773614059219311, 0.3730455687844096, 0.36703734109527436, 0.32057201036650806, 0.20989659908230773, 0.20266286491422758, 0.1809902538736936, 0.17881728296347305, 0.16017373139259594, 0.15051371328484564]"
