FEN,Move,Win Probability,FEN ID
2kr3r/pp1q1pp1/2p1n3/3pP2p/P3n3/1QP2PP1/1P1BP1KP/RN3R2 b - - 0 18,"['e4d2', 'h5h4', 'e4c5', 'e4g5', 'e6g5', 'e6c5', 'b7b6', 'd8e8', 'f7f6', 'g7g5', 'd8g8', 'd8f8', 'h8h7', 'f7f5', 'a7a6', 'e4g3', 'g7g6', 'd5d4', 'd7c7', 'd7e8', 'e6f8', 'c8b8', 'a7a5', 'h8e8', 'b7b5', 'd7e7', 'h8f8', 'e6c7', 'c8c7', 'c6c5', 'e6f4', 'h8g8', 'e4d6', 'h8h6', 'e4f6', 'e4f2', 'e4c3', 'e6d4', 'd7d6']","[0.5901355884591462, 0.5758139966794447, 0.5559168418448287, 0.5449835205954683, 0.5018410316799476, 0.4981589683200522, 0.4586711116420767, 0.45319095389262815, 0.44954372531791664, 0.44135784741538037, 0.43501278527292314, 0.40364496835363256, 0.39569407338298884, 0.3939345129435846, 0.3904236728688792, 0.3799603223030577, 0.37476952142308345, 0.3627707844161063, 0.3442607185634, 0.3442607185634, 0.3434299837156404, 0.34177138985111283, 0.3343559420193419, 0.32702145260719145, 0.3047486873684638, 0.29854364172866005, 0.2970037651435491, 0.2931742312343752, 0.2878617610188755, 0.2796306260994816, 0.27154510710718377, 0.27154510710718377, 0.26575770228885515, 0.2488744990616516, 0.23470217892023404, 0.22880230865038653, 0.22237016798603204, 0.16017373139259594, 0.09537095564452558]",XIBHR5
r4rk1/pb1nq2p/1pp1pbp1/8/3PN3/2P2N2/PP2Q1PP/R1B2RK1 w - - 4 18,"['e4f6', 'c1h6', 'c1f4', 'a2a4', 'h2h3', 'h2h4', 'c1e3', 'c1d2', 'a1b1', 'b2b4', 'e2e1', 'e2c4', 'f1f2', 'a2a3', 'e2d3', 'g1h1', 'e2f2', 'e2d1', 'b2b3', 'e2c2', 'c3c4', 'f1e1', 'c1g5', 'f3e5', 'd4d5', 'f1d1', 'e4g5', 'g2g3', 'g1f2', 'f3e1', 'e4g3', 'e4f2', 'e2d2', 'e2e3', 'f3d2', 'g2g4', 'f3g5', 'e4d2', 'f3h4', 'e4d6', 'e4c5', 'e2b5', 'e2a6']","[0.7814266583095536, 0.7559124444307999, 0.7545511326039137, 0.7518131775349546, 0.7356767892949336, 0.7306344092139007, 0.7291826261225229, 0.7284548928928163, 0.7188835525772427, 0.7158975342204064, 0.711382833072352, 0.7098684931758285, 0.7075881993130916, 0.7068257687656249, 0.7022268698712444, 0.70145635827134, 0.6999119059295844, 0.674597170920925, 0.6680980166875132, 0.6557392814366, 0.649897670785642, 0.5936932221056321, 0.591915609324709, 0.5910258971916128, 0.585675286773559, 0.5847815132358991, 0.5758139966794447, 0.5758139966794447, 0.5731136939018822, 0.5713110574149894, 0.5631764176433595, 0.5631764176433595, 0.5559168418448287, 0.5495449603745888, 0.545896437602999, 0.5422429789460687, 0.5082839219143761, 0.5009205189599892, 0.31339752781910246, 0.2400343786012863, 0.23869359706743176, 0.10885720702563229, 0.08311810201340841]",3HOS3H
5rk1/1Q3pp1/p2p3p/1p6/2P5/2q4P/5PP1/3R2K1 w - - 2 27,"['c4b5', 'b7a6', 'b7c6', 'g2g3', 'b7b6', 'g1h2', 'h3h4', 'b7a7', 'g2g4', 'b7d7', 'b7e4', 'b7c7', 'b7e7', 'd1b1', 'b7d5', 'f2f3', 'd1f1', 'g1h1', 'f2f4', 'd1d5', 'b7f3', 'g1f1', 'c4c5', 'd1d6', 'd1d3', 'd1d4', 'd1d2', 'd1a1', 'b7b5', 'd1c1', 'd1e1', 'b7f7', 'b7c8', 'b7a8', 'b7b8']","[0.47884068475933794, 0.39745633901469424, 0.30008809407041565, 0.29470257622091905, 0.27446827486685393, 0.27227406568891394, 0.26647680798493956, 0.23010432245165907, 0.22556999001192107, 0.22237016798603204, 0.21794509769450665, 0.21482343464315956, 0.21296608731927869, 0.21173437828081765, 0.2050532483330516, 0.2050532483330516, 0.1938844142805335, 0.1927360397463046, 0.1915928504041009, 0.1799012073028387, 0.1626657842885849, 0.16166523433017105, 0.15820240791194307, 0.08228014108429627, 0.08062725610318067, 0.07456844680878733, 0.06940492607857218, 0.06799152265130198, 0.06729486861836093, 0.06729486861836093, 0.06614848131031625, 0.057014517452192714, 0.05642352684427998, 0.05171813942909331, 0.05135816615735628]",GS0CAE
rnb1r3/bpp1kNpp/5n2/p7/2B1P3/2P5/PP3PPP/RNB2RK1 w - - 1 11,"['b1a3', 'f7g5', 'a2a4', 'e4e5', 'b2b3', 'f7e5', 'a2a3', 'c1f4', 'f1e1', 'c4b3', 'h2h3', 'c1g5', 'f1d1', 'b2b4', 'c1e3', 'c1d2', 'b1d2', 'g1h1', 'h2h4', 'g2g4', 'g2g3', 'c4b5', 'f7h6', 'f7h8', 'c1h6', 'c4d3', 'f7d6', 'c4d5', 'f7d8', 'c4e2', 'c4e6', 'c4a6']","[0.7299091321665175, 0.6897629617356684, 0.6737883770370706, 0.6705428791057813, 0.6524068491501985, 0.6440107489122191, 0.6191718321143753, 0.603425129353426, 0.5963550316463674, 0.5865684965842631, 0.5803043837193158, 0.5776116974476763, 0.5686035652810878, 0.5604570759825421, 0.5586421525846197, 0.5577340998516674, 0.5531881623684916, 0.5468090461073719, 0.5376698043044984, 0.5358387144707508, 0.497238468079986, 0.43501278527292314, 0.38867247514924735, 0.316575437139995, 0.29393782392203827, 0.2693655907860994, 0.2586350767502906, 0.25302724901334644, 0.24613144130277942, 0.23470217892023404, 0.19736068787568456, 0.1626657842885849]",I777GA
3rk1r1/1q1bbpBp/p1p5/8/B2QP3/8/PPP2PPP/3R1RK1 b - - 4 17,"['f7f6', 'b7b4', 'h7h5', 'd8c8', 'd7g4', 'a6a5', 'h7h6', 'b7c7', 'd8b8', 'd8a8', 'c6c5', 'b7a8', 'd7c8', 'd7e6', 'd7f5', 'b7c8', 'e7b4', 'b7b8', 'd7h3', 'e7h4', 'e7g5', 'e7d6', 'f7f5', 'e7c5', 'e7f8', 'g8g7', 'g8f8', 'e7a3', 'g8h8', 'b7b5', 'e7f6', 'b7b3', 'b7b2', 'b7b6', 'b7a7']","[0.19503797801426692, 0.1621648870000681, 0.15869338408054756, 0.15431891796545932, 0.1533603059112063, 0.1500435305626528, 0.14495105737956576, 0.14495105737956576, 0.1444952958104478, 0.1417856942140951, 0.1400029530333191, 0.13911864088681591, 0.13823901653571885, 0.13780095806432646, 0.13348426760561977, 0.13348426760561977, 0.1313691382702844, 0.1284558117032647, 0.1284558117032647, 0.1284558117032647, 0.1276336111356119, 0.11696790982294991, 0.1165881370128245, 0.1056839310673574, 0.10225400583383587, 0.07927305137721596, 0.07662683689656646, 0.06893079617403686, 0.06637629759533209, 0.06390996781621955, 0.056619880941334966, 0.05135816615735628, 0.04339911529907742, 0.04174836666587267, 0.031319359514539014]",ZIZDHU
5rk1/p3np2/8/5Q1P/2qp4/5RP1/P4R2/6K1 w - - 1 32,"['f5g5', 'f5f6', 'f5g4', 'f5e5', 'f5d7', 'f5f4', 'f5e4', 'f5c2', 'f2c2', 'f5h3', 'f5d3', 'f5b1', 'f5a5', 'f3c3', 'f5f7', 'a2a3', 'f5g6', 'g1h2', 'h5h6', 'f2f1', 'a2a4', 'g1h1', 'f3f4', 'g1g2', 'f5e6', 'f2h2', 'f2e2', 'f5c8', 'g3g4', 'f5h7', 'f2g2', 'f5c5', 'f5b5', 'f5d5', 'f3d3', 'f2d2', 'f3b3', 'f2b2', 'f3e3', 'f3a3']","[0.932705131381639, 0.9080666365586876, 0.8882521875746774, 0.8723663888643881, 0.8522892607055503, 0.8291496060284106, 0.8162646767950037, 0.8106779899506587, 0.8072639602536954, 0.7991162424527938, 0.7973371350857725, 0.7795341070238575, 0.7559124444307999, 0.4071952805672289, 0.2788895198861058, 0.1672300700782952, 0.148174886276199, 0.1458661617291349, 0.1309495413845757, 0.1280441483889645, 0.12681590743681204, 0.12519393136296175, 0.12438962914872875, 0.1165881370128245, 0.11433191756669464, 0.1135883369859218, 0.11211381938667214, 0.11211381938667214, 0.11138285043817636, 0.10638197729176951, 0.10361398030487234, 0.10024370428970547, 0.09794280511446124, 0.09664924125145591, 0.09473750066487285, 0.09379438122652484, 0.09071118696593633, 0.08339914250457947, 0.08255860336706944, 0.07927305137721596]",00DKDV
r3kb1r/1ppq2pp/p1n4n/4p3/2BpP3/1NP2Q1P/PP3PP1/R1B2RK1 b kq - 3 12,"['e8c8', 'h6f7', 'g7g6', 'h6g8', 'd7d6', 'f8d6', 'd7e7', 'd4c3', 'b7b5', 'a6a5', 'd4d3', 'g7g5', 'a8b8', 'b7b6', 'f8e7', 'a8a7', 'a8c8', 'c6d8', 'c6a7', 'c6e7', 'h6g4', 'c6b8', 'd7d8', 'a8d8', 'e8d8', 'c6b4', 'f8a3', 'e8e7', 'h8g8', 'd7c8', 'f8b4', 'c6a5', 'h6f5', 'd7f7', 'f8c5', 'd7h3', 'd7g4', 'd7e6', 'd7f5', 'd7d5']","[0.3450924067173986, 0.33027105825721115, 0.2454488673960863, 0.2407066986076838, 0.23470217892023404, 0.23338203523147633, 0.22173410747470712, 0.22109934903954387, 0.20989659908230773, 0.2050532483330516, 0.20266286491422758, 0.20266286491422758, 0.1915928504041009, 0.18539779231227405, 0.18428819244207262, 0.17666477329070246, 0.15869338408054756, 0.14358734593333494, 0.1301137622360911, 0.12969757635818585, 0.12479122466512271, 0.12398914293212276, 0.11248087332490314, 0.10429994894276634, 0.10057629832289083, 0.10024370428970547, 0.0992517799624475, 0.0904079365368638, 0.08980417354795867, 0.08980417354795867, 0.08771953240973313, 0.08368104652783925, 0.08117482411679905, 0.07610740636397961, 0.07108823921840635, 0.04058571893540408, 0.03741341970378809, 0.03675601122110872, 0.026952786433402376, 0.018403374700466824]",VSC167
2B5/p7/1p4k1/3p2p1/3P2K1/7P/PP6/8 w - - 10 41,"['c8f5', 'a2a4', 'c8a6', 'b2b4', 'a2a3', 'c8d7', 'c8b7', 'c8e6', 'g4g3', 'b2b3', 'g4f3', 'h3h4']","[0.916036183850529, 0.9148964080224704, 0.9143212727289114, 0.9137426170872673, 0.9119853621643293, 0.911094657452666, 0.9107959528114045, 0.9092888130340637, 0.9055778121403019, 0.9052624993351271, 0.8997562957102946, 0.8719558516110355]",HTAW6X
r3kr2/1b1p1p1p/p1n5/1p1N2Qp/4P3/Pq6/1P4PP/5RK1 w - - 0 31,"['d5c7', 'd5f6', 'g1h1', 'h2h4', 'h2h3', 'g5f6', 'g2g4', 'g2g3', 'a3a4', 'f1c1', 'g5h6', 'g5g7', 'g5h4', 'f1f3', 'f1f2', 'f1f4', 'f1f5', 'g5f5', 'g5h5', 'g5d2', 'f1e1', 'f1a1', 'g5f4', 'g5c1', 'f1b1', 'g1f2', 'd5e3', 'f1f6', 'd5b6', 'd5f4', 'd5c3', 'g5g3', 'd5b4', 'g5e3', 'f1d1', 'd5e7', 'f1f7', 'e4e5', 'g5g8', 'g5g6', 'g5g4', 'g5e7', 'g5d8', 'g5e5']","[1.0, 0.44499235158754635, 0.36703734109527436, 0.32137451728153066, 0.31102551666780703, 0.30008809407041565, 0.2679187308110218, 0.26575770228885515, 0.2551207276169529, 0.2551207276169529, 0.2537238112045824, 0.24205519274435705, 0.2281532478287117, 0.2275054850760267, 0.2275054850760267, 0.22428615873700553, 0.22109934903954387, 0.20807056065774177, 0.2032585059804044, 0.1956167070159846, 0.19503797801426692, 0.1915928504041009, 0.1893220100493414, 0.1831837401142804, 0.1708503939715894, 0.1577126660012219, 0.14540801215840354, 0.14404072586099298, 0.13433835352772516, 0.110656053362296, 0.09348188324070156, 0.09285968753405982, 0.08596761401203978, 0.08090061761863632, 0.057611320258977305, 0.05135816615735628, 0.045112062444817136, 0.04309441347327758, 0.0286439576050867, 0.026952786433402376, 0.021185082784447085, 0.019288309044073748, 0.017749880440610377, 0.015468103367169583]",75R4L3
rnbqkbnr/pp1ppppp/8/2p5/8/6P1/PPPPPPBP/RNBQK1NR b KQkq - 1 2,"['b8c6', 'd7d5', 'g8f6', 'g7g6', 'e7e6', 'd7d6', 'e7e5', 'h7h6', 'a7a6', 'h7h5', 'b8a6', 'd8c7', 'd8b6', 'f7f5', 'a7a5', 'd8a5', 'f7f6', 'g8h6', 'c5c4', 'g7g5', 'b7b5', 'b7b6']","[0.5055228953683342, 0.5046024700028845, 0.49079583987119135, 0.4852759384118717, 0.47700323643230064, 0.4714948226881868, 0.4705773918729125, 0.4696601598181785, 0.4650771960458313, 0.46416128552924907, 0.454103562397001, 0.454103562397001, 0.4504550396254112, 0.44590191339485113, 0.4386360651319824, 0.4386360651319824, 0.41700770288330274, 0.3983384732724953, 0.38954771790854137, 0.36703734109527436, 0.12681590743681204, 0.12082496069766191]",RO22R5
