FEN,Moves
8/k7/2Q5/1Q6/7p/7P/5P1N/5K2 w - - 8 53,c6b7 c6a6 b5b7 b5b6
8/4k3/8/3Q1Q2/6p1/2P2pP1/8/6K1 w - - 5 54,f5f7 d5d7
2Q5/8/1Q6/8/k7/8/6P1/6K1 w - - 11 60,c8a8 c8a6
8/8/8/3Q4/1Q1Q4/8/8/2k1K3 w - - 23 82,d5c6 d5c5 d5c4 d4c5 d4c4 d4c3 d4d2 d4b2 d4d1 b4b2
8/8/4k3/2Q5/8/P2Q4/7P/6K1 w - - 9 57,d3f5
4Q3/2K5/p5p1/1p1Q3p/6k1/P5P1/1P5P/8 w - - 3 44,e8c8 e8d7 e8e6
8/8/8/8/4K3/8/5qk1/3q4 b - - 5 74,d1d4
8/pkp5/1p6/2b1q2R/2P4K/5q2/8/8 b - - 11 46,e5h5 e5f4 e5g3 c5f2 f3h5 f3g3
8/8/8/4qP2/2k5/8/3K4/5q2 b - - 8 53,e5c3 e5e2
8/k2K4/8/1Q6/2Q3p1/6P1/PP6/8 w - - 9 56,c4a4
6k1/2r5/3K4/8/8/8/8/qqrnnqqq b - - 1 78,h1c6 g1g6 g1b6 f1f6 f1a6 c1c6 b1g6 b1b6 a1f6
1q6/8/8/K1P3k1/1P6/8/8/7q b - - 2 58,h1a8 h1a1
r1b4Q/ppp1k3/2n3B1/1q2PQ2/3P4/P1b1K3/8/RN6 w - - 1 31,h8f8 h8e8 h8f6 h8h4 f5f7
7k/4b1p1/2P4p/4Q3/3P4/6P1/1K5P/3qq3 b - - 0 39,e1d2 d1b1
K5k1/8/8/8/8/3q4/1q6/2q3q1 b - - 7 67,d3d8 d3a6 d3d5 d3e4 d3f3 d3a3 c1c8 c1c6 c1a1
rnb1k1nr/ppp2ppp/B7/4p3/3PP3/5KNq/P2b1P1P/1q5R b kq - 3 13,c8g4
5Q2/3K2Q1/8/7k/8/3P4/1p6/1B6 w - - 5 55,f8h8
1Q6/8/8/5Q2/K7/8/1P6/7k w - - 1 72,f5f1
4Q3/5Q2/8/2p3k1/1b2K2p/8/7P/8 w - - 3 53,f7g7 f7g6 f7f4
2R5/8/1qp2kp1/8/3q1P2/K7/PP6/8 b - - 9 48,b6b4 b6b2 d4b4
3Q4/3B4/p2k4/1p6/2p1Q3/2K5/P7/8 w - - 1 42,e4d4
4Q2Q/8/8/2k3P1/4P3/3K3N/8/8 w - - 1 50,h8d4
8/8/6Qp/1qnpR3/2k1p3/5q1P/5P1P/6K1 b - - 2 41,b5b1
2Q5/8/3Q4/6k1/3R4/3K4/8/8 w - - 3 55,c8c5 c8g4
8/8/7K/8/8/8/8/q3k1q1 b - - 1 73,a1h8
8/8/8/b7/4k1K1/5p2/8/3q3q b - - 3 77,d1g1
4r1k1/5pp1/5n1p/3p1P2/3P4/3KPQ2/1q6/2q5 b - - 3 51,b2b5 b2d2 b2c2 c1c4 c1c3 c1d2 c1c2 c1b1
7Q/2Q5/8/3k4/5K2/8/8/8 w - - 3 58,h8e5
r4k2/ppp4p/8/5N2/2K5/2P5/5b2/1q2q3 b - - 1 42,e1e6
5Q2/8/8/1p6/1P6/N5Q1/Pk6/R3K3 w - - 1 48,f8h8 f8g7 f8f6
1k6/pp6/1q6/8/K7/8/1q6/8 b - - 27 63,b6a6 b6b5 b6b4 b2b4 b2b3 b2a2 b2a1
7Q/3Q4/6kp/8/6K1/7P/5P2/8 w - - 2 48,h8g7 d7e8 d7h7 d7g7 d7e6 d7f5
3k4/6Q1/7Q/8/2B5/2PP4/2P2PP1/6K1 w - - 5 49,h6h8
8/8/2Q5/5Q1p/7P/6K1/2p5/2k5 w - - 0 53,c6c2 f5c2
8/8/8/8/2k5/8/1q3q2/3K4 b - - 5 56,f2e2 f2d2 f2g1 f2f1 b2d2 b2c2 b2b1 b2a1
