FEN,Moves
5B2/8/8/1Q2N2k/3NP2P/3P4/1B6/4K2R w - - 1 43,b5e8
kB2R1N1/8/P6Q/3K4/7R/8/3B4/8 w - - 1 64,h6c6
2q5/K7/5pp1/4p1k1/8/8/8/5b1b b - - 3 65,c8c7 c8b7
Q1K5/8/4k3/b3b3/8/8/6q1/8 b - - 0 62,g2a8
5B1B/8/3N4/8/2Q3K1/k7/8/8 w - - 3 67,d6e8 d6c8 d6f7 d6b7 d6f5 d6b5 d6e4
r7/8/8/3q4/1n2k3/8/1K1b1r2/6b1 b - - 11 61,d5a2
3B4/2B2R2/5pp1/4pk1p/7P/3r1P2/6PK/1b6 w - - 14 53,f7f6
2b5/p4k2/nrB1p1p1/2P1P3/5PPP/8/1pq5/R2bK3 b - - 3 39,c2e2
1B1kN1R1/7R/8/8/1P6/2P4P/5PPB/6K1 w - - 3 54,e8c7 e8f6 e8d6
8/8/5k1p/7P/4b2K/5q2/4b3/8 b - - 15 64,f3g4
4Q2B/4B3/6P1/5P2/8/2p5/2K5/k7 w - - 3 53,e8a8 e8a4
8/8/8/2B1k3/6QP/4N3/1PPB2P1/6K1 w - - 3 45,g4f5 d2c3
1q5n/6nb/6br/2k5/K7/8/8/8 b - - 11 78,b8b4
1N6/8/B7/8/8/3R1BK1/6R1/1k6 w - - 25 66,d3d1
7B/1K6/8/3k2B1/8/2Q5/8/8 w - - 6 67,c3c6
rn2k2r/5ppp/8/8/3n4/8/1q2p3/b1b4K b kq - 1 55,e2e1q e2e1r
4kB2/6K1/4P3/p3Q3/8/2B5/P7/8 w - - 1 57,e5b8
7B/8/4Q3/B2R4/2N2k1K/1P6/8/8 w - - 5 68,e6f5 e6g4 e6e3 d5f5
8/6k1/8/7b/6q1/8/8/5b1K b - - 1 64,g4g2
8/8/8/8/2k3pp/5p2/4q3/bnb3K1 b - - 1 77,e2g2
8/4QB2/7k/5B2/8/8/3KN3/8 w - - 10 93,e7f6
7b/r7/8/7K/8/4k3/6r1/4b3 b - - 1 68,a7h7
1r6/2b5/K7/2q5/4k3/8/5r2/6b1 b - - 8 68,c5b6 c5a5 c5a3 f2f6 f2a2
5BN1/8/R1Q5/4k3/8/2K5/8/2B5 w - - 3 65,c6e6 a6a5
8/b6p/8/8/4k2b/7q/6r1/2K5 b - - 7 57,h3h1
8/8/8/5b2/8/4q3/k7/3K3b b - - 3 52,h1f3
r3kb1r/4ppp1/5n1p/6bP/8/8/1p5q/3K4 b kq - 1 36,a8a1 h2d2 b2b1q b2b1r
6k1/3b3p/2b3r1/5n1K/8/8/8/8 b - - 3 51,c6f3
8/6B1/7B/R2Q4/1k4K1/8/8/8 w - - 11 74,h6d2 d5b5
4QB2/8/8/2pk4/pp4R1/8/PPPB1KPP/8 w - - 2 40,e8e4
2R3B1/8/k7/7P/8/1R6/P1P2PB1/6K1 w - - 15 53,c8a8
5B2/8/8/1Q6/2NNP1kP/3P4/1B6/4K2R w - - 3 44,b5g5
4RBQ1/7P/3K4/k1B3N1/4N3/8/8/1R6 w - - 1 67,g8a2 e8a8
B7/8/4B3/8/6b1/4Q1pk/1PP5/2K5 w - - 3 39,e3h6
4RB2/6PP/3K4/2B3N1/k3N3/8/8/1R6 w - - 1 66,e8a8
r3kb1r/4ppp1/5n1p/6bP/8/1p6/7q/4K3 b kq - 1 35,a8a1
8/8/8/7k/5B2/2PK4/5B2/6Q1 w - - 5 71,g1g5
1q5n/6nb/6br/8/2k5/K7/8/8 b - - 13 79,b8b3
k1K2Qb1/6p1/6b1/2p5/3P2pP/p1R2PB1/P1N5/8 w - - 0 57,c3a3
k1K5/5bp1/3Q2b1/2p5/3P2pP/p1R2PB1/P1N5/8 w - - 4 59,d6b8 d6a6 c3a3
r3kb1r/4ppp1/5n1p/1p4bP/8/8/7q/4K3 b kq - 3 33,a8a1
6k1/3b1p1p/2b4P/7P/6r1/5n1K/8/8 b - - 3 43,g4g7 g4g6 g4g5 g4g1
3N1k2/8/4QN2/8/8/3B1B2/5K2/8 w - - 33 90,e6f7
8/6pp/2q1k3/K7/3b1b2/8/8/8 b - - 9 61,f4d2 d4c3
r5Bk/5Q2/p1p3pp/1p2r3/7q/1BN4P/PP3PP1/R5K1 w - - 1 22,f7h7
