group,file,tokens
magpie,magpieclean_20k.jsonl,9758493
programmatic_chess_explainer,combined_chessexplainer_5350.jsonl,3839484
programmatic_ntp,latentsft_train_contrastive_ntp_200k.jsonl,400000
programmatic_ntp,latentsft_trainBC1mm_under_attack_200k.jsonl,200000
programmatic_ntp,latentsft_trainBC1mm_cloze_capture_200k.jsonl,400000
programmatic_ntp,latentsft_trainBC1mm_mobility_200k.jsonl,208635
programmatic_ntp,latentsft_trainBC1mm_mat_adv_value_200k.jsonl,599125
programmatic_ntp,latentsft_trainBC1mm_is_legal_200k.jsonl,200000
programmatic_ntp,latentsft_trainBC1mm_is_check_200k.jsonl,200000
rejection_sampling_predictmove,rejsampling_predictmove_balanced_5775.jsonl,3941680
rejection_sampling_other,rejsampling_worstmove_balanced_1724.jsonl,1428729
rejection_sampling_other,rejsampling_bestmove_balanced_2535.jsonl,1879124
rejection_sampling_other,rejsampling_legalmoves_balanced_604.jsonl,401971
synthetic_moves,syntheticmoves_blunders_11k.jsonl,602661
